neighborhood,ucrDescription,number
STANDISH,Aggravated Assault,19.0
STANDISH,Arson,2.0
STANDISH,Auto Theft,49.0
STANDISH,Burglary,162.0
STANDISH,Homicide,0.0
STANDISH,Larceny,217.0
STANDISH,Rape,12.0
STANDISH,Robbery,8.0
STEVEN'S SQUARE - LORING HEIGHTS,Aggravated Assault,31.0
STEVEN'S SQUARE - LORING HEIGHTS,Arson,1.0
STEVEN'S SQUARE - LORING HEIGHTS,Auto Theft,25.0
STEVEN'S SQUARE - LORING HEIGHTS,Burglary,30.0
STEVEN'S SQUARE - LORING HEIGHTS,Homicide,0.0
STEVEN'S SQUARE - LORING HEIGHTS,Larceny,127.0
STEVEN'S SQUARE - LORING HEIGHTS,Rape,9.0
STEVEN'S SQUARE - LORING HEIGHTS,Robbery,13.0
STEVENS SQUARE - LORING HEIGHTS,Aggravated Assault,17.0
STEVENS SQUARE - LORING HEIGHTS,Arson,0.0
STEVENS SQUARE - LORING HEIGHTS,Auto Theft,30.0
STEVENS SQUARE - LORING HEIGHTS,Burglary,12.0
STEVENS SQUARE - LORING HEIGHTS,Homicide,0.0
STEVENS SQUARE - LORING HEIGHTS,Larceny,94.0
STEVENS SQUARE - LORING HEIGHTS,Rape,5.0
STEVENS SQUARE - LORING HEIGHTS,Robbery,18.0
SUMNER - GLENWOOD,Aggravated Assault,28.0
SUMNER - GLENWOOD,Arson,2.0
SUMNER - GLENWOOD,Auto Theft,23.0
SUMNER - GLENWOOD,Burglary,18.0
SUMNER - GLENWOOD,Homicide,1.0
SUMNER - GLENWOOD,Larceny,59.0
SUMNER - GLENWOOD,Rape,5.0
SUMNER - GLENWOOD,Robbery,12.0
TANGLETOWN,Aggravated Assault,3.0
TANGLETOWN,Arson,1.0
TANGLETOWN,Auto Theft,18.0
TANGLETOWN,Burglary,57.0
TANGLETOWN,Homicide,0.0
TANGLETOWN,Larceny,119.0
TANGLETOWN,Rape,3.0
TANGLETOWN,Robbery,7.0
UNIVERSITY OF MINNESOTA,Aggravated Assault,6.0
UNIVERSITY OF MINNESOTA,Arson,1.0
UNIVERSITY OF MINNESOTA,Auto Theft,22.0
UNIVERSITY OF MINNESOTA,Burglary,17.0
UNIVERSITY OF MINNESOTA,Homicide,0.0
UNIVERSITY OF MINNESOTA,Larceny,205.0
UNIVERSITY OF MINNESOTA,Rape,5.0
UNIVERSITY OF MINNESOTA,Robbery,6.0
VENTURA VILLAGE,Aggravated Assault,92.0
VENTURA VILLAGE,Arson,7.0
VENTURA VILLAGE,Auto Theft,153.0
VENTURA VILLAGE,Burglary,81.0
VENTURA VILLAGE,Homicide,5.0
